상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,광고 계정 이름,광고 계정 ID,결과,결과 유형,결과당 비용,결과당 비용 유형,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),총 전환율(%),총 광고수익률(%)
표지판 출입금지 안내 반려견 출입금지 말뚝안내판 파이프 포함 표지판 추락 낙상주의 표시 금연알림 미끄럼조심 팻말 사각_안내판(파이프 미포함),4643542129,82188062604,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
종이 주차스티커 500장 주문제작 원형컷팅,4643153101,82187673576,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
종이 주차스티커 1000장 주문제작 원형컷팅,4643150065,82187670540,hana1644,1872088,0,전환,0,전환당,0,3,0,0,0,0.00,0.00,0.00
종이 주차스티커 2000장 주문제작 원형컷팅,4643145032,82187665507,hana1644,1872088,0,전환,0,전환당,0,23,0,0,0,0.00,0.00,0.00
종이 주차스티커 3000장 주문제작 원형컷팅,4643141607,82187662082,hana1644,1872088,0,전환,0,전환당,0,29,0,0,0,0.00,0.00,0.00
아파트 입주환영 현수막 실사출력 현수막제작 일반나무,4643124255,82187644730,hana1644,1872088,0,전환,0,전환당,0,6,0,0,0,0.00,0.00,0.00
반려견 목줄착용 배변금지 배설물 수거 필수 지참 표시 안내 현수막 실사출력 현수막제작 애완동물 펫티켓 표지 일반나무+끈 5000X900,4643123672,82187644147,hana1644,1872088,0,전환,0,전환당,0,10,0,0,0,0.00,0.00,0.00
아파트 층간소음 고성방가 공회전금지 배려 협조 주민생활 안전관리 캠페인 현수막 일반나무 5000X900,4643123365,82187643840,hana1644,1872088,0,전환,0,전환당,0,7,0,0,0,0.00,0.00,0.00
아파트 관리사무소 분리수거 안내 현수막 실사출력 일반나무,4643121110,82187641585,hana1644,1872088,0,전환,0,전환당,0,3,0,0,0,0.00,0.00,0.00
방향유도 주차장 안내 관리사무소 현수막 실사출력 현수막제작 일반나무,4643120619,82187641094,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
대형 주의 표지 일방통행 도로 안전 현수막 교통 안내 준수 아파트 단지내 주의 대형 플랜카드 주차장 일반나무,4643120078,82187640553,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
대형 주의 표지 주차 정차 금지 현수막 외부 차량 불법 주정차 전용구역 단속 플랜카드 대형 경고 주의 일반나무,4641944095,82186464570,hana1644,1872088,0,전환,0,전환당,0,4,0,0,0,0.00,0.00,0.00
주의 표지 여름 수영장 물놀이 오픈 현수막 다이빙금지 경고 아파트 물놀이장 개장 넘어짐주의 안전수칙 플랜카드 일반나무,4641929903,82186450378,hana1644,1872088,0,전환,0,전환당,0,3,0,0,0,0.00,0.00,0.00
대형 아파트 주택 빌라 소방시설 설치 의무 안내 불조심 현수막 대형 화재예방 신고 안전점검 관리 플랜카드 일반나무,4641924019,82186444495,hana1644,1872088,0,전환,0,전환당,0,7,0,0,0,0.00,0.00,0.00
송년회 5000X900mm 현수막 망년회 연말 행사 연회 실사출력 회사 동호회 신년회 파티 이벤트 플랜카드 일반나무+끈,4641920423,82186440898,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
대형 5000X900mm 가정의달 현수막 제작 대형 플랜카드 실사출력 어버이날 어린이날 행사 안내문 일반나무+끈,4641908778,82186429253,hana1644,1872088,0,전환,0,전환당,293,74,3959,1,293,1.35,0.00,0.00
아파트 우수단지 최우수단지 현수막 금연 행사 이벤트 실사출력 현수막 플랜카드 일반나무,4641904984,82186425459,hana1644,1872088,0,전환,0,전환당,0,10,0,0,0,0.00,0.00,0.00
아파트 동대표 투표 선거 관리사무소 찬반투표 전자투표 현수막 실사출력 현수막제작 관리사무소 장소 안내 표시문 일반나무,4641897964,82186418439,hana1644,1872088,0,전환,0,전환당,0,16,0,0,0,0.00,0.00,0.00
어린이집 유치원 원아모집 입학 졸업 축하 현수막 행사 배너 실사출력 일반나무,4641880837,82186401312,hana1644,1872088,0,전환,0,전환당,0,13,0,0,0,0.00,0.00,0.00
소형 A형 입간판 주의 표지 매장 안내 지금은 청소중 A형 입간판 접이식 미끄럼주의 안내판 화장실 빌딩 카페 매장 표지판 미화원 소형 노랑 무지,4641810097,82186330572,hana1644,1872088,0,전환,0,전환당,0,1,0,0,0,0.00,0.00,0.00
PE 입간판 화장실 미끄럼주의 A형 표지판 남자 여자 직원 청소중 잠시만 기다려주세요 넘어짐 경고 단면선택시,4641681276,82186201751,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
안전강화유리 아파트 게시판 1구 인포메이션 포켓형 광고면 없음,4641475983,82185996458,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
안전강화유리 아파트 게시판 2구 인포메이션 승강기 알림판 A4 공지 보드 안내문 포켓형 1. 광고면없음,4641474218,82185994693,hana1644,1872088,0,전환,0,전환당,0,5,0,0,0,0.00,0.00,0.00
안전강화유리 아파트 게시판 3구 인포메이션 엘리베이터 승강기 안내문 상가 알림판 A4 종이꽂이 포켓형 광고면 없음,4641471275,82185991750,hana1644,1872088,0,전환,0,전환당,0,35,0,0,0,0.00,0.00,0.00
안전강화유리 아파트 게시판 4구 인포메이션 포켓형 광고면 없음,4641469776,82185990251,hana1644,1872088,0,전환,0,전환당,0,22,0,0,0,0.00,0.00,0.00
안전강화유리 아파트 게시판 6구 인포메이션 A4 공지판 종이꽂이 안내문 알림판 건물 상가 포켓형 광고면없음,4641468596,82185989071,hana1644,1872088,0,전환,0,전환당,0,26,0,0,0,0.00,0.00,0.00
A4 안내문 안전강화유리 아파트 게시판 8구 인포메이션 종이 꽂이판 상가 건물 안내문 포켓형 광고면 없음,4641467204,82185987679,hana1644,1872088,0,전환,0,전환당,0,39,0,0,0,0.00,0.00,0.00
아파트 게시판 안전강화유리 10구 인포메이션 종이 꽂이 알림판 승강기 상가 건물 안내문 A4 포켓형 광고면 없음,4641465566,82185986041,hana1644,1872088,0,전환,0,전환당,1604,135,11883,1,1604,0.74,0.00,0.00
알루미늄 메탈 아파트 게시판 1구 인포메이션 공지 사무실 알림판 집게타입 1. 광고면 없음,4641462508,82185982983,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
메탈 아파트 게시판 2구 엘리베이터 공지 보드 알미늄 A4 알림판 집게타입 1. 광고면 없음,4641456066,82185976541,hana1644,1872088,0,전환,0,전환당,0,7,0,0,0,0.00,0.00,0.00
알미늄 엘리베이터 게시판 3구 사무실 알림판 A4 학급 학원 공지 집게타입 1. 광고면 없음,4641451190,82185971665,hana1644,1872088,0,전환,0,전환당,0,12,0,0,0,0.00,0.00,0.00
사무실 공지 게시판 알루미늄 4구 아파트 학교 알림판 학원 A4 메탈 보드 집게타입 1. 광고면 없음,4641372883,82185893358,hana1644,1872088,0,전환,0,전환당,0,2,0,0,0,0.00,0.00,0.00
